id,Name,Code
504,씨에스베어링,297090
505,AP위성,211270
506,메타바이오메드,059210
507,인텍플러스,064290
508,세명전기,017510
509,디엔에프,092070
510,로체시스템즈,071280
511,아미코젠,092040
512,와이지-원,019210
513,와이즈넛,096250
514,KX,122450
515,LS티라유텍,322180
516,동양이엔피,079960
517,랩지노믹스,084650
518,레몬,294140
519,디앤씨미디어,263720
520,씨앤지하이테크,264660
521,녹십자웰빙,234690
522,톱텍,108230
523,엠에스씨,009780
524,금양그린파워,282720
525,성우,458650
526,그래디언트,035080
527,메드팩토,235980
528,마크로젠,038290
529,버킷스튜디오,066410
530,코다코,046070
531,디케이티,290550
532,지씨지놈,340450
533,상신이디피,091580
534,아톤,158430
535,휴마시스,205470
536,마음AI,377480
537,한선엔지니어링,452280
538,탑런토탈솔루션,336680
539,폴라리스AI,039980
540,엠디바이스,226590
541,코리아에프티,123410
542,이랜시스,264850
543,국보디자인,066620
544,코아시아,045970
545,일진파워,094820
546,동국산업,005160
547,코텍,052330
548,에스와이스틸텍,365330
549,엑셈,205100
550,케이엔솔,053080
551,원익피앤이,217820
552,푸른저축은행,007330
553,RF머트리얼즈,327260
554,사람인,143240
555,지투파워,388050
556,에스비비테크,389500
557,성호전자,043260
558,마이크로디지탈,305090
559,와이솔,122990
560,DMS,068790
561,파워로직스,047310
562,웹케시,053580
563,고려신용정보,049720
564,이엠텍,091120
565,에스텍,069510
566,디알텍,214680
567,미래컴퍼니,049950
568,아가방컴퍼니,013990
569,루미르,474170
570,KT나스미디어,089600
571,쇼박스,086980
572,청담글로벌,362320
573,윈스테크넷,136540
574,삼보판지,023600
575,티씨머티리얼즈,125020
576,동구바이오제약,006620
577,에어레인,163280
578,에스와이,109610
579,티케이케미칼,104480
580,인피니트헬스케어,071200
581,한국파마,032300
582,재영솔루텍,049630
583,넥써쓰,205500
584,매일홀딩스,005990
585,삼익제약,014950
586,아이엠비디엑스,461030
587,알서포트,131370
588,엑세스바이오,950130
589,오스테오닉,226400
590,좋은사람들,033340
591,오이솔루션,138080
592,오성첨단소재,052420
593,디와이피엔에프,104460
594,크레버스,096240
595,바이오에프디엔씨,251120
596,제노코,361390
597,NICE인프라,063570
598,미투온,201490
599,양지사,030960
600,강스템바이오텍,217730
601,다원시스,068240
602,켄코아에어로스페이스,274090
603,세보엠이씨,011560
604,테고사이언스,191420
605,MDS테크,086960
606,슈피겐코리아,192440
607,대봉엘에스,078140
608,이엔셀,456070
609,엠에스오토텍,123040
610,퓨릿,445180
611,원익,032940
612,에이럭스,475580
613,메가스터디,072870
614,이노스페이스,462350
615,유비쿼스,264450
616,모다이노칩,080420
617,그래피,318060
618,아모텍,052710
619,더네이쳐홀딩스,298540
620,이엠코리아,095190
621,엣지파운드리,105550
622,시스웍,269620
623,현대ADM,187660
624,팜스토리,027710
625,도이치모터스,067990
626,디이엔티,079810
627,농우바이오,054050
628,씨피시스템,413630
629,하이텍팜,106190
630,젝시믹스,337930
631,현대에버다임,041440
632,원준,382840
633,온코크로스,382150
634,제이엘케이,322510
635,대동기어,008830
636,HLB바이오스텝,278650
637,조이시티,067000
638,파세코,037070
639,현대바이오랜드,052260
640,케이씨에스,115500
641,알멕,354320
642,라온텍,418420
643,에스피소프트,443670
644,그린리소스,402490
645,광무,029480
646,아스타,246720
647,그리드위즈,453450
648,아이텍,119830
649,모델솔루션,417970
650,컴투스홀딩스,063080
651,LB인베스트먼트,309960
652,동국생명과학,303810
653,제룡산업,147830
654,위지윅스튜디오,299900
655,현대이지웰,090850
656,초록뱀미디어,047820
657,씨티씨바이오,060590
658,퓨처코어,151910
659,SM C&C,048550
660,아바텍,149950
661,한일사료,005860
662,다산네트웍스,039560
663,대보마그네틱,290670
664,에코플라스틱,038110
665,동신건설,025950
666,진로발효,018120
667,미스터블루,207760
668,엠게임,058630
669,한빛레이저,452190
670,타이거일렉,219130
671,뉴프렉스,085670
672,워트,396470
673,한국경제TV,039340
674,엘케이켐,489500
675,컨텍,451760
676,케이알엠,093640
677,선광,003100
678,에이비온,203400
679,라파스,214260
680,엔알비,475230
681,서울옥션,063170
682,나노엔텍,039860
683,선진뷰티사이언스,086710
684,CJ 바이오사이언스,311690
685,공구우먼,366030
686,메쎄이상,408920
687,아진산업,013310
688,알에스오토메이션,140670
689,드림어스컴퍼니,060570
690,제이스코홀딩스,023440
691,동국S&C,100130
692,스튜디오미르,408900
693,에이티넘인베스트,021080
694,플래스크,041590
695,하이드로리튬,101670
696,유니트론텍,142210
697,샌즈랩,411080
698,스마트레이더시스템,424960
699,SBI인베스트먼트,019550
700,베뉴지,019010
701,풍국주정,023900
702,수젠텍,253840
703,야스,255440
704,덱스터,206560
705,아이디스홀딩스,054800
706,휴먼테크놀로지,175140
707,서울바이오시스,092190
708,삼기에너지솔루션즈,419050
709,티에스아이,277880
710,CG인바이츠,083790
711,코닉오토메이션,391710
712,엔바이오니아,317870
713,인트론바이오,048530
714,티쓰리,204610
715,옵투스제약,131030
716,앱튼,270520
717,빅솔론,093190
718,아셈스,136410
719,쎌바이오텍,049960
720,코웰패션,033290
721,나우IB,293580
722,세종텔레콤,036630
723,에프엔에스테크,083500
724,KT밀리의서재,418470
725,비엠티,086670
726,코데즈컴바인,047770
727,라온시큐어,042510
728,아우토크립트,331740
729,태웅로직스,124560
730,큐라클,365270
731,포바이포,389140
732,모티브링크,463480
733,와이엔텍,067900
734,코칩,126730
735,에이치엔에스하이텍,044990
736,오르비텍,046120
737,이지케어텍,099750
738,퓨런티어,370090
739,솔본,035610
740,삼아제약,009300
741,한컴위드,054920
742,지어소프트,051160
743,우수AMS,066590
744,켐트로스,220260
745,빅텍,065450
746,이브이첨단소재,131400
747,탑코미디어,134580
748,엔에프씨,265740
749,KT지니뮤직,043610
750,케이피에프,024880
751,크리스탈신소재,900250
752,서원인텍,093920
753,드림씨아이에스,223250
754,포니링크,064800
755,아비코전자,036010
756,자이언트스텝,289220
757,파라택시스코리아,288330
758,셀바스헬스케어,208370
759,고스트스튜디오,950190
760,에스피시스템스,317830
761,레뷰코퍼레이션,443250
762,엠투아이,347890
763,안국약품,001540
764,세운메디칼,100700
765,HC보광산업,225530
766,DXVX,180400
767,아모그린텍,125210
768,케이옥션,102370
769,KCC건설,021320
770,핑거,163730
771,제이아이테크,417500
772,엑스페릭스,317770
773,웨이비스,289930
774,우리손에프앤지,073560
775,에이치피오,357230
776,메디아나,041920
777,삐아,451250
778,에스트래픽,234300
779,알체라,347860
780,우리바이오,082850
781,리드코프,012700
782,코메론,049430
783,시지메드텍,056090
784,정상제이엘에스,040420
785,에프앤가이드,064850
786,대원미디어,048910
787,셀리드,299660
788,씨씨에스,066790
789,에이엘티,172670
790,리메드,302550
791,유아이엘,049520
792,율호,072770
793,라온테크,232680
794,위닉스,044340
795,블랙야크아이앤씨,478560
796,위메이드플레이,123420
797,대성파인텍,104040
798,와이엠텍,273640
799,비트맥스,377030
800,해성에어로보틱스,059270
801,나노팀,417010
802,제이엔케이글로벌,126880
803,엔브이에이치코리아,067570
804,중앙에너비스,000440
805,하이로닉,149980
806,디케이락,105740
807,스톰테크,352090
808,KNN,058400
809,모비스,250060
810,모베이스전자,012860
811,화일약품,061250
812,위츠,459100
813,특수건설,026150
814,비아트론,141000
815,네오크레마,311390
816,지놈앤컴퍼니,314130
817,상상인,038540
818,케이엔에스,432470
819,중앙백신,072020
820,컴퍼니케이,307930
821,예스24,053280
822,한국선재,025550
823,지엘팜텍,204840
824,테라젠이텍스,066700
825,삼륭물산,014970
826,이건홀딩스,039020
827,이녹스,088390
828,고바이오랩,348150
829,씨티케이,260930
830,대한뉴팜,054670
831,현대공업,170030
832,휴비츠,065510
833,스톤브릿지벤처스,330730
834,네오이뮨텍,950220
835,이닉스,452400
836,데이타솔루션,263800
837,광림,014200
838,코스텍시스,355150
839,코리아나,027050
840,제이피아이헬스케어,0010V0
841,크리스에프앤씨,110790
842,남화산업,111710
843,셀바이오휴먼텍,318160
844,케이엔더블유,105330
845,유일에너테크,340930
846,딥노이드,315640
847,트루엔,417790
848,창해에탄올,004650
849,녹십자엠에스,142280
850,에이비프로바이오,195990
851,동아화성,041930
852,삼보모터스,053700
853,레이언스,228850
854,서한,011370
855,토마토시스템,393210
856,SV인베스트먼트,289080
857,대정화금,120240
858,유라테크,048430
859,네온테크,306620
860,키이스트,054780
861,지앤비에스 에코,382800
862,에스퓨얼셀,288620
863,지슨,446840
864,인성정보,033230
865,나노,187790
866,3S,060310
867,코츠테크놀로지,448710
868,HC홈센타,060560
869,옵티코어,380540
870,HLB제넥스,187420
871,비아이매트릭스,413640
872,M83,476080
873,에이텍,045660
874,제이씨현시스템,033320
875,엔지켐생명과학,183490
876,아이씨디,040910
877,아이에스티이,212710
878,유성티엔에스,024800
879,인크로스,216050
880,정다운,208140
881,나이스디앤비,130580
882,유니크,011320
883,팅크웨어,084730
884,SCL사이언스,246960
885,화성밸브,039610
886,지오엘리먼트,311320
887,위더스제약,330350
888,에이프로,262260
889,디바이스,187870
890,에이에스텍,453860
